userID,food,rating
6,칼국수,5
6,짜장면,3
6,짬뽕,4
6,탕수육,2
6,마라탕,2
6,양꼬치,3
6,마파두부밥,1
6,유산슬,1
6,깐풍기,1
6,훠궈,3
6,팔보채,1
6,우동,3
6,생선회,4
6,초밥,3
6,돈부리 덮밥,3
6,라멘,2
6,메밀소바,4
6,타코야끼,1
6,오코노미야끼,1
6,스키야키,4
6,규카츠,3
6,치킨,3
6,스파게티,3
6,피자,3
6,햄버거,3
6,스테이크,4
6,부리또,1
6,타코,1
6,리조또,2
6,쌀국수,2
6,팟타이,2
7,비빔밥,1
7,볶음밥,1
7,김치찌개,5
7,된장찌개,4
7,순두부찌개,4
7,삼계탕,5
7,갈비,4
7,생선구이,3
7,삼겹살,5
7,보쌈,4
7,족발,4
7,곱창,3
7,떡볶이,1
7,돈까스,2
7,제육볶음,2
7,매운탕,5
7,청국장,2
7,순대국밥,4
7,감자탕,3
7,냉면,2
7,추어탕,2
7,낙지볶음,1
7,육개장,1
7,찜닭,1
7,나주곰탕,5
7,소머리 국밥,3
7,물회,3
7,샤브샤브,3
7,간장게장,5
7,칼국수,2
7,짜장면,5
7,짬뽕,5
7,탕수육,4
7,마라탕,1
7,양꼬치,4
7,마파두부밥,1
7,유산슬,3
7,깐풍기,2
7,훠궈,3
7,팔보채,2
7,우동,3
7,생선회,5
7,초밥,5
7,돈부리 덮밥,2
7,라멘,4
7,메밀소바,4
7,타코야끼,2
7,오코노미야끼,3
7,스키야키,1
7,규카츠,1
7,치킨,5
7,스파게티,3
7,피자,4
7,햄버거,5
7,스테이크,4
7,부리또,3
7,타코,2
7,리조또,1
7,쌀국수,2
7,팟타이,1
8,비빔밥,4
8,볶음밥,3
8,김치찌개,3
8,된장찌개,4
8,순두부찌개,4
8,삼계탕,4
8,갈비,4
8,생선구이,1
8,삼겹살,5
8,보쌈,3
8,족발,3
8,곱창,4
8,떡볶이,5
8,돈까스,3
8,제육볶음,3
8,매운탕,2
8,청국장,3
8,순대국밥,4
8,감자탕,4
8,냉면,3
8,추어탕,1
8,낙지볶음,3
8,육개장,3
8,찜닭,3
8,나주곰탕,4
8,소머리 국밥,2
8,물회,2
8,샤브샤브,4
8,간장게장,2
8,칼국수,4
8,짜장면,4
8,짬뽕,3
8,탕수육,5
8,마라탕,4
8,양꼬치,5
8,마파두부밥,5
8,유산슬,2
8,깐풍기,3
8,훠궈,5
8,팔보채,2
8,우동,3
8,생선회,1
8,초밥,2
8,돈부리 덮밥,2
8,라멘,2
8,메밀소바,2
8,타코야끼,2
8,오코노미야끼,3
8,스키야키,1
8,규카츠,3
8,치킨,4
8,스파게티,3
8,피자,5
8,햄버거,5
8,스테이크,5
8,부리또,4
8,타코,5
8,리조또,3
8,쌀국수,5
8,팟타이,5
9,비빔밥,3
9,볶음밥,3
9,김치찌개,2
9,된장찌개,2
9,순두부찌개,2
9,삼계탕,2
9,갈비,1
9,생선구이,4
9,삼겹살,2
9,보쌈,1
9,족발,1
9,곱창,3
9,떡볶이,1
9,돈까스,3
9,제육볶음,2
9,매운탕,5
9,청국장,2
9,순대국밥,2
9,감자탕,1
9,냉면,1
9,추어탕,3
9,낙지볶음,2
9,육개장,1
9,찜닭,1
9,나주곰탕,3
9,소머리 국밥,3
9,물회,3
9,샤브샤브,1
9,간장게장,1
9,칼국수,1
9,짜장면,1
9,짬뽕,1
9,탕수육,1
9,마라탕,1
9,양꼬치,2
9,마파두부밥,3
9,유산슬,3
9,깐풍기,3
9,훠궈,2
9,팔보채,3
9,우동,1
9,생선회,2
9,초밥,1
9,돈부리 덮밥,3
9,라멘,3
9,메밀소바,2
9,타코야끼,2
9,오코노미야끼,3
9,스키야키,3
9,규카츠,3
9,치킨,1
9,스파게티,3
9,피자,3
9,햄버거,4
9,스테이크,2
9,부리또,4
9,타코,4
9,리조또,3
9,쌀국수,1
9,팟타이,2
10,비빔밥,4
10,볶음밥,5
10,김치찌개,5
10,된장찌개,5
10,순두부찌개,5
10,삼계탕,4
10,갈비,5
10,생선구이,3
10,삼겹살,5
10,보쌈,5
10,족발,5
10,곱창,5
10,떡볶이,5
10,돈까스,5
10,제육볶음,5
10,매운탕,2
10,청국장,2
10,순대국밥,4
10,감자탕,5
10,냉면,5
10,추어탕,1
10,낙지볶음,2
10,육개장,4
10,찜닭,4
10,나주곰탕,4
10,소머리 국밥,2
10,물회,5
10,샤브샤브,5
10,간장게장,2
10,칼국수,5
10,짜장면,5
10,짬뽕,5
10,탕수육,5
10,마라탕,5
10,양꼬치,5
10,마파두부밥,3
10,유산슬,3
10,깐풍기,4
10,훠궈,5
10,팔보채,5
10,우동,5
10,생선회,5
10,초밥,5
10,돈부리 덮밥,5
10,라멘,5
10,메밀소바,5
10,타코야끼,5
10,오코노미야끼,5
10,스키야키,5
10,규카츠,5
10,치킨,5
10,스파게티,5
10,피자,5
10,햄버거,5
10,스테이크,5
10,부리또,5
10,타코,5
10,리조또,5
10,쌀국수,5
10,팟타이,5
11,비빔밥,3
11,볶음밥,3
11,김치찌개,4
11,된장찌개,4
11,순두부찌개,4
11,삼계탕,4
11,갈비,5
11,생선구이,3
11,삼겹살,5
11,보쌈,5
11,족발,5
11,곱창,5
11,떡볶이,4
11,돈까스,4
11,제육볶음,2
11,매운탕,2
11,청국장,2
11,순대국밥,2
11,감자탕,2
11,냉면,1
11,추어탕,1
11,낙지볶음,1
11,육개장,1
11,찜닭,2
11,나주곰탕,3
11,소머리 국밥,1
11,물회,3
11,샤브샤브,5
11,간장게장,3
11,칼국수,1
11,짜장면,5
11,짬뽕,4
11,탕수육,5
11,마라탕,4
11,양꼬치,3
11,마파두부밥,3
11,유산슬,2
11,깐풍기,2
11,훠궈,1
11,팔보채,1
11,우동,1
11,생선회,5
11,초밥,4
11,돈부리 덮밥,5
11,라멘,4
11,메밀소바,3
11,타코야끼,2
11,오코노미야끼,3
11,스키야키,2
11,규카츠,1
